// --- 초급 ---
famous,유명한
develop,발전시키다
kitchen,부엌
beautiful,아름다운
government,정부
holiday,휴일
century,세기
distance,거리
breath,숨
modern,현대의
adventure,모험
express,표현하다
foreign,외국의
choice,선택
especially,특히
energy,에너지
business,사업
customer,고객
natural,자연의
general,일반적인
electric,전기의
complete,완성하다
dangerous,위험한
library,도서관
important,중요한
exercise,운동
instead,대신에
corner,모서리
evening,저녁
current,현재의
culture,문화
equipment,장비
frequently,자주
climate,기후
explain,설명하다
factory,공장
control,통제하다
citizen,시민
failure,실패
ground,땅
degree,정도
capital,수도
compare,비교하다
careful,조심스러운
director,감독
example,예
industry,산업
material,재료
opinion,의견
character,인물
difference,차이
bridge,다리
advice,조언
create,창조하다
animal,동물
difficult,어려운
forest,숲
however,그러나
opportunity,기회
courage,용기
information,정보
finally,마침내
address,주소
machine,기계
memory,기억
healthy,건강한
freedom,자유
future,미래
improve,개선하다
hospital,병원
article,기사
ability,능력
benefit,이익
language,언어
medical,의학의
common,흔한
available,이용할 수 있는
decision,결정
necessary,필요한
celebrate,축하하다
education,교육
employee,직원
journey,여행
happen,일어나다
neighbor,이웃
mistake,실수
accept,받아들이다
appear,나타나다
environment,환경
economic,경제의
depend,의존하다
athlete,운동선수
discuss,토론하다
interest,관심
history,역사
experience,경험
imagine,상상하다
include,포함하다
increase,증가하다
chance,기회

// --- 중급 ---
challenge,도전
conference,회의
approach,접근하다
agriculture,농업
basically,기본적으로
category,범주
commercial,상업의
ancient,고대의
authority,권위
capacity,능력
democracy,민주주의
construct,건설하다
although,비록 ~이지만
anxiety,불안
calendar,달력
attitude,태도
analyze,분석하다
accomplish,달성하다
creative,창의적인
campaign,캠페인
colleague,동료
accurate,정확한
border,국경
communicate,소통하다
condition,조건
community,공동체
acquire,획득하다
appreciate,감사하다
concept,개념
collect,수집하다
budget,예산
belong,속하다
classify,분류하다
congress,의회
contain,포함하다
confidence,자신감
criminal,범죄자
absolutely,절대적으로
behave,행동하다
circumstance,상황
constant,지속적인
connection,연결
cooperate,협력하다
critical,비판적인
approve,승인하다
continue,계속하다
commission,위원회
determine,결정하다
attempt,시도하다
domestic,국내의
disaster,재난
advance,발전하다
convince,설득하다
civilization,문명
consist,구성되다
consider,고려하다
contribute,기여하다
describe,묘사하다
concentrate,집중하다
drama,드라마
department,부서
candidate,후보자
argue,논쟁하다
ceremony,의식
beyond,너머에
conflict,갈등
curious,호기심 있는
destroy,파괴하다
distribute,분배하다
discover,발견하다
admission,입학
criticism,비판
damage,손상
demonstrate,증명하다
efficient,효율적인
earn,벌다
election,선거
establish,설립하다
engineer,기술자
announce,발표하다
enormous,거대한
emotion,감정
emergency,응급상황
empire,제국
advantage,장점
evidence,증거
examine,검사하다
exactly,정확히
exchange,교환하다
experiment,실험
explore,탐험하다
exist,존재하다
expert,전문가
extremely,극도로
familiar,친숙한
fantasy,환상
feature,특징
flexible,유연한
framework,틀
disease,질병

// --- 고급 ---
phenomenon,현상
elaborate,정교한
contemporary,현대의
autonomous,자율적인
investigate,조사하다
methodology,방법론
deteriorate,악화되다
constitute,구성하다
integrate,통합하다
comprehensive,포괄적인
crucial,중요한
facilitate,촉진하다
arbitrary,자의적인
dimension,차원
alternative,대안
legislative,법률의
explicit,명시적인
federal,연방의
eliminate,제거하다
abstract,추상적인
notion,개념
inevitable,불가피한
hypothesis,가설
incorporate,통합하다
objective,객관적인
cumulative,누적적인
generate,생성하다
dynamic,역동적인
enhance,향상시키다
justify,정당화하다
manipulate,조작하다
anticipate,예상하다
acknowledge,인정하다
identical,동일한
component,구성요소
aggressive,공격적인
fluctuate,변동하다
deviation,편차
substantial,상당한
emerge,나타나다
derive,도출하다
fundamental,근본적인
evaluate,평가하다
consensus,합의
exclusive,독점적인
authentic,진정한
preliminary,예비의
advocate,옹호하다
minimize,최소화하다
illustrate,설명하다
conservative,보수적인
compromise,타협
barrier,장벽
correlate,상관관계
demonstrate,입증하다
allocate,할당하다
equivalent,동등한
infrastructure,인프라
discrimination,차별
aesthetic,미적인
ethical,윤리적인
emphasize,강조하다
interpret,해석하다
abundant,풍부한
dominate,지배하다
coordinate,조정하다
eventually,결국
criteria,기준
dramatic,극적인
guarantee,보장하다
exceed,초과하다
duration,지속기간
controversial,논란의
bizarre,기괴한
conventional,관습적인
epidemic,전염병
adequate,적절한
imply,암시하다
abolish,폐지하다
feasible,실행 가능한
assembly,집회
accommodate,수용하다
assessment,평가
accelerate,가속화하다
diminish,감소하다
distinctive,독특한
evolve,진화하다
evidence,명백한
contemplate,숙고하다
assumption,가정
conceive,개념화하다
indicate,나타내다
dedicate,헌신하다
implement,실행하다
exploit,이용하다
abandon,포기하다
consequence,결과
initiative,주도권
attribute,속성
ambiguous,애매한
